gauge,unit_weight
0.017,5.524E-05
0.018,6.215E-05
0.019,6.947E-05
0.02,7.495E-05
0.021,8.293E-05
0.022,9.184E-05
0.024,0.00010857
0.026,0.00012671
0.028,0.00014666
0.03,0.00017236
0.032,0.00019347
0.034,0.0002159
0.036,0.00023964
0.038,0.00026471
0.039,0.00027932
0.042,0.00032279
0.044,0.00035182
0.046,0.00038216
0.048,0.00041382
0.049,0.00043014
0.052,0.00048109
0.054,0.00053838
0.056,0.00057598
0.059,0.00064191
0.06,0.00066542
0.062,0.00070697
0.064,0.00074984
0.066,0.00079889
0.068,0.00084614
0.07,0.00089304
0.072,0.00094124
0.074,0.00098869
0.08,0.00115011
